model,overall,agricultural-and-biological-sciences,arts-and-humanities,biochemistry-genetics-and-molecular-biology,business-management-and-accounting,chemical-engineering,chemistry,computer-science,decision-sciences,earth-and-planetary-sciences,economics-econometrics-and-finance,energy,engineering,environmental-science,immunology-and-microbiology,materials-science,mathematics,medicine,neuroscience,nursing,pharmacology-toxicology-and-pharmaceutics,physics-and-astronomy,psychology,social-sciences,veterinary,dentistry,health-professions,timestamp
smollm2:135m,88.8962,89.9,87.6,89.3,86.6,92.2,94.6,89.9,89.0,86.8,86.9,93.5,91.3,87.6,86.8,94.1,90.2,85.3,85.9,88.4,91.3,93.3,86.9,85.1,84.7,85.4,88.7,2025-11-09T19:39:40.285244
smollm:135m,23.3692,42.9,30.0,16.3,33.5,12.7,11.8,18.7,17.7,33.3,24.1,17.5,23.8,28.1,28.6,22.0,9.1,29.1,13.6,31.2,17.6,25.3,13.3,22.3,35.4,21.0,28.7,2025-11-09T19:50:43.135045
gemma3:270m,89.2885,91.0,88.5,89.4,86.8,92.4,95.4,90.4,89.2,87.4,87.0,93.6,91.6,88.4,87.1,94.2,90.6,86.2,86.3,89.0,91.4,93.4,87.1,85.7,85.2,85.4,88.8,2025-11-09T20:16:37.432440
smollm2:360m,33.0885,11.4,69.5,-24.6,48.2,46.2,55.8,73.2,69.4,45.8,32.2,75.6,53.8,59.0,-20.7,56.6,50.4,-6.2,-1.7,-8.2,-10.2,49.0,30.3,70.1,17.4,-24.0,42.0,2025-11-09T20:26:06.849482
smollm:360m,54.4538,69.0,58.4,65.9,64.3,57.9,44.9,52.7,57.0,59.1,66.1,46.6,52.0,45.7,62.5,59.8,44.4,45.1,46.1,46.7,74.8,66.2,41.6,49.4,41.8,44.9,52.9,2025-11-09T20:36:56.542243
qwen:0.5b,-14.0038,-16.0,-32.3,-23.3,-17.4,-13.0,2.8,-14.6,-23.2,-16.8,0.2,-6.7,-5.9,-19.9,-17.7,-10.9,-0.5,-11.4,-6.5,-9.1,-12.7,-26.6,-16.9,-19.9,-9.6,-10.3,-25.9,2025-11-09T20:56:20.937705
qwen2:0.5b,85.3885,88.4,85.1,85.4,81.2,89.6,94.4,87.4,85.2,86.4,78.8,86.6,88.6,83.6,84.9,91.8,88.2,81.2,82.3,86.2,86.8,92.0,82.3,80.9,79.6,81.6,81.6,2025-11-09T21:11:49.017618
qwen2.5:0.5b,79.9962,81.5,70.6,77.9,77.2,86.8,86.2,85.1,84.0,80.6,71.6,83.3,85.0,78.7,74.2,89.4,78.6,74.3,80.2,80.1,83.3,83.7,78.7,74.7,72.6,81.2,80.4,2025-11-09T21:28:15.419917
qwen3:0.6b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-11-09T22:00:10.472377
